"","ISO","year","best","armconf1"
"1355","GIN",2014,NA,NA
"1356","GIN",2015,3,1
"1357","GIN",2016,NA,NA
"1358","GIN",2017,NA,NA
"1359","GIN",2018,NA,NA
"1360","GIN",2019,NA,NA
"1361","GNB",2000,0,0
"1362","GNB",2001,NA,NA
"1363","GNB",2002,NA,NA
"1364","GNB",2003,NA,NA
"1365","GNB",2004,NA,NA
"1366","GNB",2005,NA,NA
"1367","GNB",2006,NA,NA
"1368","GNB",2007,NA,NA
"1369","GNB",2008,NA,NA
"1370","GNB",2009,NA,NA
"1371","GNB",2010,NA,NA
"1372","GNB",2011,NA,NA
"1373","GNB",2012,NA,NA
"1374","GNB",2013,NA,NA
"1375","GNB",2014,NA,NA
"1376","GNB",2015,NA,NA
"1377","GNB",2016,NA,NA
"1378","GNB",2017,NA,NA
"1379","GNB",2018,NA,NA
"1380","GNB",2019,NA,NA
"1381","GUY",2000,NA,NA
"1382","GUY",2001,NA,NA
"1383","GUY",2002,NA,NA
"1384","GUY",2003,NA,NA
"1385","GUY",2004,NA,NA
"1386","GUY",2005,NA,NA
"1387","GUY",2006,NA,NA
"1388","GUY",2007,NA,NA
"1389","GUY",2008,12,1
"1390","GUY",2009,NA,NA
"1391","GUY",2010,NA,NA
"1392","GUY",2011,NA,NA
"1393","GUY",2012,NA,NA
"1394","GUY",2013,NA,NA
"1395","GUY",2014,NA,NA
"1396","GUY",2015,NA,NA
"1397","GUY",2016,NA,NA
"1398","GUY",2017,NA,NA
"1399","GUY",2018,NA,NA
"1400","GUY",2019,NA,NA
"1401","HTI",2000,NA,NA
"1402","HTI",2001,NA,NA
"1403","HTI",2002,NA,NA
"1404","HTI",2003,NA,NA
"1405","HTI",2004,1,1
"1406","HTI",2005,4,1
"1407","HTI",2006,NA,NA
"1408","HTI",2007,NA,NA
"1409","HTI",2008,NA,NA
"1410","HTI",2009,NA,NA
"1411","HTI",2010,NA,NA
"1412","HTI",2011,NA,NA
"1413","HTI",2012,NA,NA
"1414","HTI",2013,NA,NA
"1415","HTI",2014,NA,NA
"1416","HTI",2015,NA,NA
"1417","HTI",2016,NA,NA
"1418","HTI",2017,8,1
"1419","HTI",2018,71,1
"1420","HTI",2019,NA,NA
"1421","HND",2000,6,1
"1422","HND",2001,NA,NA
"1423","HND",2002,1,1
"1424","HND",2003,9,1
"1425","HND",2004,0,0
"1426","HND",2005,NA,NA
"1427","HND",2006,NA,NA
"1428","HND",2007,NA,NA
"1429","HND",2008,18,1
"1430","HND",2009,NA,NA
"1431","HND",2010,9,1
"1432","HND",2011,18,1
"1433","HND",2012,4,1
"1434","HND",2013,NA,NA
"1435","HND",2014,5,1
"1436","HND",2015,NA,NA
"1437","HND",2016,2,1
"1438","HND",2017,NA,NA
"1439","HND",2018,NA,NA
"1440","HND",2019,NA,NA
"1441","HUN",2000,NA,NA
"1442","HUN",2001,NA,NA
"1443","HUN",2002,NA,NA
"1444","HUN",2003,NA,NA
"1445","HUN",2004,NA,NA
"1446","HUN",2005,NA,NA
"1447","HUN",2006,NA,NA
"1448","HUN",2007,NA,NA
"1449","HUN",2008,NA,NA
"1450","HUN",2009,NA,NA
"1451","HUN",2010,NA,NA
"1452","HUN",2011,NA,NA
"1453","HUN",2012,NA,NA
"1454","HUN",2013,NA,NA
"1455","HUN",2014,NA,NA
"1456","HUN",2015,NA,NA
"1457","HUN",2016,NA,NA
"1458","HUN",2017,NA,NA
"1459","HUN",2018,NA,NA
"1460","HUN",2019,NA,NA
"1461","ISL",2000,NA,NA
"1462","ISL",2001,NA,NA
"1463","ISL",2002,NA,NA
"1464","ISL",2003,NA,NA
"1465","ISL",2004,NA,NA
"1466","ISL",2005,NA,NA
"1467","ISL",2006,NA,NA
"1468","ISL",2007,NA,NA
"1469","ISL",2008,NA,NA
"1470","ISL",2009,NA,NA
"1471","ISL",2010,NA,NA
"1472","ISL",2011,NA,NA
"1473","ISL",2012,NA,NA
"1474","ISL",2013,NA,NA
"1475","ISL",2014,NA,NA
"1476","ISL",2015,NA,NA
"1477","ISL",2016,NA,NA
"1478","ISL",2017,NA,NA
"1479","ISL",2018,NA,NA
"1480","ISL",2019,NA,NA
"1481","IND",2000,1,1
"1482","IND",2001,0,0
"1483","IND",2002,4,1
"1484","IND",2003,1,1
"1485","IND",2004,3,1
"1486","IND",2005,0,0
"1487","IND",2006,6,1
"1488","IND",2007,0,0
"1489","IND",2008,1,1
"1490","IND",2009,0,0
"1491","IND",2010,1,1
"1492","IND",2011,1,1
"1493","IND",2012,1,1
"1494","IND",2013,2,1
"1495","IND",2014,0,0
"1496","IND",2015,2,1
"1497","IND",2016,4,1
"1498","IND",2017,1,1
"1499","IND",2018,1,1
"1500","IND",2019,NA,NA
"1501","IDN",2000,1,1
"1502","IDN",2001,0,0
"1503","IDN",2002,0,0
"1504","IDN",2003,1,1
"1505","IDN",2004,10,1
"1506","IDN",2005,3,1
"1507","IDN",2006,6,1
"1508","IDN",2007,2,1
"1509","IDN",2008,1,1
"1510","IDN",2009,NA,NA
"1511","IDN",2010,NA,NA
"1512","IDN",2011,2,1
"1513","IDN",2012,1,1
"1514","IDN",2013,1,1
"1515","IDN",2014,4,1
"1516","IDN",2015,0,0
"1517","IDN",2016,NA,NA
"1518","IDN",2017,1,1
"1519","IDN",2018,2,1
"1520","IDN",2019,NA,NA
"1521","IRN",2000,3,1
"1522","IRN",2001,6,1
"1523","IRN",2002,NA,NA
"1524","IRN",2003,2,1
"1525","IRN",2004,NA,NA
"1526","IRN",2005,20,1
"1527","IRN",2006,0,0
"1528","IRN",2007,0,0
"1529","IRN",2008,2,1
"1530","IRN",2009,26,1
"1531","IRN",2010,7,1
"1532","IRN",2011,10,1
"1533","IRN",2012,4,1
"1534","IRN",2013,2,1
"1535","IRN",2014,2,1
"1536","IRN",2015,0,0
"1537","IRN",2016,2,1
"1538","IRN",2017,2,1
"1539","IRN",2018,3,1
"1540","IRN",2019,NA,NA
"1541","IRQ",2000,0,0
"1542","IRQ",2001,2,1
"1543","IRQ",2002,25,1
"1544","IRQ",2003,2,1
"1545","IRQ",2004,5,1
"1546","IRQ",2005,4,1
"1547","IRQ",2006,1,1
"1548","IRQ",2007,2,1
"1549","IRQ",2008,5,1
"1550","IRQ",2009,2,1
"1551","IRQ",2010,7,1
"1552","IRQ",2011,9,1
"1553","IRQ",2012,1,1
